Id,SalePrice
test_1,0
test_2,0
test_3,0
test_4,0
test_5,0
test_6,0
test_7,0
test_8,0
test_9,0
test_10,0
test_11,0
test_12,0
test_13,0
test_14,0
test_15,0
test_16,0
test_17,0
test_18,0
test_19,0
test_20,0
test_21,0
test_22,0
test_23,0
test_24,0
test_25,0
test_26,0
test_27,0
test_28,0
test_29,0
test_30,0
test_31,0
test_32,0
test_33,0
test_34,0
test_35,0
test_36,0
test_37,0
test_38,0
test_39,0
test_40,0
test_41,0
test_42,0
test_43,0
test_44,0
test_45,0
test_46,0
test_47,0
test_48,0
test_49,0
test_50,0
test_51,0
test_52,0
test_53,0
test_54,0
test_55,0
test_56,0
test_57,0
test_58,0
test_59,0
test_60,0
test_61,0
test_62,0
test_63,0
test_64,0
test_65,0
test_66,0
test_67,0
test_68,0
test_69,0
test_70,0
test_71,0
test_72,0
test_73,0
test_74,0
test_75,0
test_76,0
test_77,0
test_78,0
test_79,0
test_80,0
test_81,0
test_82,0
test_83,0
test_84,0
test_85,0
test_86,0
test_87,0
test_88,0
test_89,0
test_90,0
test_91,0
test_92,0
test_93,0
test_94,0
test_95,0
test_96,0
test_97,0
test_98,0
test_99,0
test_100,0
test_101,0
test_102,0
test_103,0
test_104,0
test_105,0
test_106,0
test_107,0
test_108,0
test_109,0
test_110,0
test_111,0
test_112,0
test_113,0
test_114,0
test_115,0
test_116,0
test_117,0
test_118,0
test_119,0
test_120,0
test_121,0
test_122,0
test_123,0
test_124,0
test_125,0
test_126,0
test_127,0
test_128,0
test_129,0
test_130,0
test_131,0
test_132,0
test_133,0
test_134,0
test_135,0
test_136,0
test_137,0
test_138,0
test_139,0
test_140,0
test_141,0
test_142,0
test_143,0
test_144,0
test_145,0
test_146,0
test_147,0
test_148,0
test_149,0
test_150,0
test_151,0
test_152,0
test_153,0
test_154,0
test_155,0
test_156,0
test_157,0
test_158,0
test_159,0
test_160,0
test_161,0
test_162,0
test_163,0
test_164,0
test_165,0
test_166,0
test_167,0
test_168,0
test_169,0
test_170,0
test_171,0
test_172,0
test_173,0
test_174,0
test_175,0
test_176,0
test_177,0
test_178,0
test_179,0
test_180,0
test_181,0
test_182,0
test_183,0
test_184,0
test_185,0
test_186,0
test_187,0
test_188,0
test_189,0
test_190,0
test_191,0
test_192,0
test_193,0
test_194,0
test_195,0
test_196,0
test_197,0
test_198,0
test_199,0
test_200,0
test_201,0
test_202,0
test_203,0
test_204,0
test_205,0
test_206,0
test_207,0
test_208,0
test_209,0
test_210,0
test_211,0
test_212,0
test_213,0
test_214,0
test_215,0
test_216,0
test_217,0
test_218,0
test_219,0
test_220,0
test_221,0
test_222,0
test_223,0
test_224,0
test_225,0
test_226,0
test_227,0
test_228,0
test_229,0
test_230,0
test_231,0
test_232,0
test_233,0
